couldn't open "transcript": permission denied
# Checking rdata: expected wdata = d9, rdata = d9
# Checking rdata: expected wdata = 5e, rdata = 5e
# Checking rdata: expected wdata = 91, rdata = 91
# Checking rdata: expected wdata = 70, rdata = 70
# Checking rdata: expected wdata = 93, rdata = 93
# Checking rdata: expected wdata = 24, rdata = 24
# Checking rdata: expected wdata = cf, rdata = cf
# Checking rdata: expected wdata = 04, rdata = 04
# Checking rdata: expected wdata = bf, rdata = bf
# Checking rdata: expected wdata = 9d, rdata = 9d
# Checking rdata: expected wdata = 61, rdata = 61
# Checking rdata: expected wdata = 41, rdata = 41
# Checking rdata: expected wdata = 91, rdata = 91
# Checking rdata: expected wdata = 2c, rdata = 2c
# Checking rdata: expected wdata = 20, rdata = 20
# Checking rdata: expected wdata = 99, rdata = 99
# Checking rdata: expected wdata = 01, rdata = 01
# Checking rdata: expected wdata = 4e, rdata = 4e
# Checking rdata: expected wdata = 8e, rdata = 8e
# Checking rdata: expected wdata = 86, rdata = 86
# Checking rdata: expected wdata = 8c, rdata = 8c
# Checking rdata: expected wdata = 0b, rdata = 0b
# Checking rdata: expected wdata = 44, rdata = 44
# Checking rdata: expected wdata = 94, rdata = 94
# Checking rdata: expected wdata = 1b, rdata = 1b
# Checking rdata: expected wdata = 27, rdata = 27
# Checking rdata: expected wdata = 8e, rdata = 8e
# Checking rdata: expected wdata = 79, rdata = 79
# Checking rdata: expected wdata = 4c, rdata = 4c
# Checking rdata: expected wdata = a1, rdata = a1
# Checking rdata: expected wdata = 5d, rdata = 5d
# Checking rdata: expected wdata = 23, rdata = 23
# Checking rdata: expected wdata = bd, rdata = bd
# Checking rdata: expected wdata = ff, rdata = ff
# Checking rdata: expected wdata = 23, rdata = 23
# Checking rdata: expected wdata = f9, rdata = f9
# Checking rdata: expected wdata = bb, rdata = bb
# Checking rdata: expected wdata = 30, rdata = 30
# Checking rdata: expected wdata = cd, rdata = cd
# Checking rdata: expected wdata = b4, rdata = b4
# Checking rdata: expected wdata = 31, rdata = 31
# Checking rdata: expected wdata = 38, rdata = 38
# Checking rdata: expected wdata = db, rdata = db
# Checking rdata: expected wdata = e4, rdata = e4
# Checking rdata: expected wdata = e2, rdata = e2
# Checking rdata: expected wdata = e7, rdata = e7
# Checking rdata: expected wdata = 14, rdata = 14
# Checking rdata: expected wdata = c6, rdata = c6
# Checking rdata: expected wdata = c6, rdata = c6
# Checking rdata: expected wdata = 2a, rdata = 2a
# Checking rdata: expected wdata = 23, rdata = 23
# Checking rdata: expected wdata = ef, rdata = ef
# Checking rdata: expected wdata = 43, rdata = 43
# Checking rdata: expected wdata = 86, rdata = 86
# Checking rdata: expected wdata = 21, rdata = 21
# Checking rdata: expected wdata = c9, rdata = c9
# Checking rdata: expected wdata = 2c, rdata = 2c
# Checking rdata: expected wdata = 9d, rdata = 9d
# Checking rdata: expected wdata = c4, rdata = c4
# Checking rdata: expected wdata = 43, rdata = 43
# Checking rdata: expected wdata = 22, rdata = 22
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = 3e, rdata = 3e
# Checking rdata: expected wdata = b7, rdata = b7
# Checking rdata: expected wdata = b8, rdata = b8
# Checking rdata: expected wdata = fd, rdata = fd
# Checking rdata: expected wdata = 01, rdata = 01
# Checking rdata: expected wdata = 3d, rdata = 3d
# Checking rdata: expected wdata = 08, rdata = 08
# Checking rdata: expected wdata = 77, rdata = 77
# Checking rdata: expected wdata = 31, rdata = 31
# Checking rdata: expected wdata = 47, rdata = 47
# Checking rdata: expected wdata = f4, rdata = f4
# Checking rdata: expected wdata = 03, rdata = 03
# Checking rdata: expected wdata = a3, rdata = a3
# Checking rdata: expected wdata = d1, rdata = d1
# Checking rdata: expected wdata = a8, rdata = a8
# Checking rdata: expected wdata = 47, rdata = 47
# Checking rdata: expected wdata = 56, rdata = 56
# Checking rdata: expected wdata = 8e, rdata = 8e
# Checking rdata: expected wdata = 2e, rdata = 2e
# Checking rdata: expected wdata = e1, rdata = e1
# Checking rdata: expected wdata = 21, rdata = 21
# Checking rdata: expected wdata = eb, rdata = eb
# Checking rdata: expected wdata = 6b, rdata = 6b
# Checking rdata: expected wdata = 9a, rdata = 9a
# Checking rdata: expected wdata = c6, rdata = c6
# Checking rdata: expected wdata = 73, rdata = 73
# Checking rdata: expected wdata = 9d, rdata = 9d
# Checking rdata: expected wdata = 78, rdata = 78
# Checking rdata: expected wdata = e8, rdata = e8
# Checking rdata: expected wdata = f8, rdata = f8
# Checking rdata: expected wdata = 73, rdata = 73
# Checking rdata: expected wdata = d5, rdata = d5
# Checking rdata: expected wdata = 94, rdata = 94
# Checking rdata: expected wdata = ad, rdata = ad
# Checking rdata: expected wdata = 47, rdata = 47
# Checking rdata: expected wdata = 0f, rdata = 0f
# Checking rdata: expected wdata = de, rdata = de
# Checking rdata: expected wdata = 03, rdata = 03
# Checking rdata: expected wdata = a9, rdata = a9
# Checking rdata: expected wdata = 54, rdata = 54
# Checking rdata: expected wdata = 7c, rdata = 7c
# Checking rdata: expected wdata = c3, rdata = c3
# Checking rdata: expected wdata = 43, rdata = 43
# Checking rdata: expected wdata = 70, rdata = 70
# Checking rdata: expected wdata = c9, rdata = c9
# Checking rdata: expected wdata = 86, rdata = 86
# Checking rdata: expected wdata = 32, rdata = 32
# Checking rdata: expected wdata = 61, rdata = 61
# Checking rdata: expected wdata = 23, rdata = 23
# Checking rdata: expected wdata = fe, rdata = fe
# Checking rdata: expected wdata = c5, rdata = c5
# Checking rdata: expected wdata = d7, rdata = d7
# Checking rdata: expected wdata = ce, rdata = ce
# Checking rdata: expected wdata = 79, rdata = 79
# Checking rdata: expected wdata = a5, rdata = a5
# Checking rdata: expected wdata = 87, rdata = 87
# Checking rdata: expected wdata = e5, rdata = e5
# Checking rdata: expected wdata = a4, rdata = a4
# Checking rdata: expected wdata = f4, rdata = f4
# Checking rdata: expected wdata = 81, rdata = 81
# Checking rdata: expected wdata = 65, rdata = 65
# Checking rdata: expected wdata = 28, rdata = 28
# Checking rdata: expected wdata = 92, rdata = 92
# Checking rdata: expected wdata = d9, rdata = d9
# Checking rdata: expected wdata = 48, rdata = 48
# Checking rdata: expected wdata = 84, rdata = 84
# Checking rdata: expected wdata = 81, rdata = 81
# Checking rdata: expected wdata = 8b, rdata = 8b
# Checking rdata: expected wdata = 96, rdata = 96
# Checking rdata: expected wdata = 08, rdata = 08
# Checking rdata: expected wdata = bb, rdata = bb
# Checking rdata: expected wdata = 2c, rdata = 2c
# Checking rdata: expected wdata = 31, rdata = 31
# Checking rdata: expected wdata = 58, rdata = 58
# Checking rdata: expected wdata = ab, rdata = ab
# Checking rdata: expected wdata = 32, rdata = 32
# Checking rdata: expected wdata = fb, rdata = fb
# Checking rdata: expected wdata = 34, rdata = 34
# Checking rdata: expected wdata = f1, rdata = f1
# Checking rdata: expected wdata = cb, rdata = cb
# Checking rdata: expected wdata = c2, rdata = c2
# Checking rdata: expected wdata = 89, rdata = 89
# Checking rdata: expected wdata = 3a, rdata = 3a
# Checking rdata: expected wdata = 30, rdata = 30
# Checking rdata: expected wdata = ad, rdata = ad
# Checking rdata: expected wdata = 9e, rdata = 9e
# Checking rdata: expected wdata = dd, rdata = dd
# Checking rdata: expected wdata = 10, rdata = 10
# Checking rdata: expected wdata = cb, rdata = cb
# Checking rdata: expected wdata = 9c, rdata = 9c
# Checking rdata: expected wdata = 92, rdata = 92
# Checking rdata: expected wdata = cf, rdata = cf
# Checking rdata: expected wdata = c5, rdata = c5
# Checking rdata: expected wdata = ed, rdata = ed
# Checking rdata: expected wdata = f8, rdata = f8
# Checking rdata: expected wdata = ff, rdata = ff
# Checking rdata: expected wdata = c2, rdata = c2
# Checking rdata: expected wdata = 2c, rdata = 2c
# Checking rdata: expected wdata = b0, rdata = b0
# Checking rdata: expected wdata = e4, rdata = e4
# Checking rdata: expected wdata = 67, rdata = 67
# Checking rdata: expected wdata = 20, rdata = 20
# Checking rdata: expected wdata = 03, rdata = 03
# Checking rdata: expected wdata = 8d, rdata = 8d
# Checking rdata: expected wdata = 25, rdata = 25
# Checking rdata: expected wdata = 18, rdata = 18
# Checking rdata: expected wdata = 7b, rdata = 7b
# Checking rdata: expected wdata = 46, rdata = 46
# Checking rdata: expected wdata = 34, rdata = 34
# Checking rdata: expected wdata = 97, rdata = 97
# Checking rdata: expected wdata = e1, rdata = e1
# Checking rdata: expected wdata = d0, rdata = d0
# Checking rdata: expected wdata = 40, rdata = 40
# Checking rdata: expected wdata = c5, rdata = c5
# Checking rdata: expected wdata = 9c, rdata = 9c
# Checking rdata: expected wdata = b2, rdata = b2
# Checking rdata: expected wdata = 17, rdata = 17
# Checking rdata: expected wdata = a6, rdata = a6
# Checking rdata: expected wdata = b9, rdata = b9
# Checking rdata: expected wdata = 54, rdata = 54
# Checking rdata: expected wdata = 60, rdata = 60
# Checking rdata: expected wdata = 59, rdata = 59
# Checking rdata: expected wdata = 3f, rdata = 3f
# Checking rdata: expected wdata = 5a, rdata = 5a
# Checking rdata: expected wdata = bc, rdata = bc
# Checking rdata: expected wdata = 3b, rdata = 3b
# Checking rdata: expected wdata = b1, rdata = b1
# Checking rdata: expected wdata = 01, rdata = 01
# Checking rdata: expected wdata = 1c, rdata = 1c
# Checking rdata: expected wdata = e7, rdata = e7
# Checking rdata: expected wdata = 8c, rdata = 8c
# Checking rdata: expected wdata = 49, rdata = 49
# Checking rdata: expected wdata = 6b, rdata = 6b
# Checking rdata: expected wdata = fd, rdata = fd
# Checking rdata: expected wdata = ef, rdata = ef
# Checking rdata: expected wdata = 55, rdata = 55
# Checking rdata: expected wdata = 4d, rdata = 4d
# Checking rdata: expected wdata = 3c, rdata = 3c
# Checking rdata: expected wdata = fb, rdata = fb
# Checking rdata: expected wdata = 87, rdata = 87
# Checking rdata: expected wdata = 2d, rdata = 2d
# Checking rdata: expected wdata = 55, rdata = 55
# Checking rdata: expected wdata = 8e, rdata = 8e
# Checking rdata: expected wdata = d0, rdata = d0
# Checking rdata: expected wdata = 1b, rdata = 1b
# Checking rdata: expected wdata = 23, rdata = 23
# Checking rdata: expected wdata = 62, rdata = 62
# Checking rdata: expected wdata = f0, rdata = f0
# Checking rdata: expected wdata = 5e, rdata = 5e
# Checking rdata: expected wdata = 63, rdata = 63
# Checking rdata: expected wdata = c0, rdata = c0
# Checking rdata: expected wdata = 26, rdata = 26
# Checking rdata: expected wdata = 52, rdata = 52
# Checking rdata: expected wdata = af, rdata = af
# Checking rdata: expected wdata = 5c, rdata = 5c
# Checking rdata: expected wdata = ac, rdata = ac
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = 5d, rdata = 5d
# Checking rdata: expected wdata = ae, rdata = ae
# Checking rdata: expected wdata = 3a, rdata = 3a
# Checking rdata: expected wdata = 5a, rdata = 5a
# Checking rdata: expected wdata = f8, rdata = f8
# Checking rdata: expected wdata = f6, rdata = f6
# Checking rdata: expected wdata = 9a, rdata = 9a
# Checking rdata: expected wdata = e5, rdata = e5
# Checking rdata: expected wdata = 70, rdata = 70
# Checking rdata: expected wdata = 0d, rdata = 0d
# Checking rdata: expected wdata = b0, rdata = b0
# Checking rdata: expected wdata = 50, rdata = 50
# Checking rdata: expected wdata = e0, rdata = e0
# Checking rdata: expected wdata = 2e, rdata = 2e
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = e6, rdata = e6
# Checking rdata: expected wdata = c5, rdata = c5
# Checking rdata: expected wdata = bc, rdata = bc
# Checking rdata: expected wdata = 81, rdata = 81
# Checking rdata: expected wdata = 8f, rdata = 8f
# Checking rdata: expected wdata = 77, rdata = 77
# Checking rdata: expected wdata = 22, rdata = 22
# Checking rdata: expected wdata = 7e, rdata = 7e
# Checking rdata: expected wdata = 8b, rdata = 8b
# Checking rdata: expected wdata = 3d, rdata = 3d
# Checking rdata: expected wdata = 9d, rdata = 9d
# Checking rdata: expected wdata = 29, rdata = 29
# Checking rdata: expected wdata = b5, rdata = b5
# Checking rdata: expected wdata = 06, rdata = 06
# Checking rdata: expected wdata = 18, rdata = 18
# Checking rdata: expected wdata = 2e, rdata = 2e
# Checking rdata: expected wdata = bd, rdata = bd
# Checking rdata: expected wdata = f3, rdata = f3
# Checking rdata: expected wdata = cb, rdata = cb
# Checking rdata: expected wdata = 36, rdata = 36
# Checking rdata: expected wdata = 4a, rdata = 4a
# Checking rdata: expected wdata = b8, rdata = b8
# Checking rdata: expected wdata = 43, rdata = 43
# Checking rdata: expected wdata = db, rdata = db
# Checking rdata: expected wdata = 1c, rdata = 1c
# Checking rdata: expected wdata = 82, rdata = 82
# Checking rdata: expected wdata = a2, rdata = a2
# Checking rdata: expected wdata = fe, rdata = fe
# Checking rdata: expected wdata = 2b, rdata = 2b
# Checking rdata: expected wdata = 1a, rdata = 1a
# Checking rdata: expected wdata = 36, rdata = 36
# Checking rdata: expected wdata = 36, rdata = 36
# Checking rdata: expected wdata = 5c, rdata = 5c
# Checking rdata: expected wdata = e3, rdata = e3
# Checking rdata: expected wdata = e9, rdata = e9
# Checking rdata: expected wdata = cd, rdata = cd
# Checking rdata: expected wdata = 6b, rdata = 6b
# Checking rdata: expected wdata = 22, rdata = 22
# Checking rdata: expected wdata = 2b, rdata = 2b
# Checking rdata: expected wdata = d9, rdata = d9
# Checking rdata: expected wdata = 98, rdata = 98
# Checking rdata: expected wdata = af, rdata = af
# Checking rdata: expected wdata = 75, rdata = 75
# Checking rdata: expected wdata = 6b, rdata = 6b
# Checking rdata: expected wdata = 8d, rdata = 8d
# Checking rdata: expected wdata = a3, rdata = a3
# Checking rdata: expected wdata = 18, rdata = 18
# Checking rdata: expected wdata = ee, rdata = ee
# Checking rdata: expected wdata = a1, rdata = a1
# Checking rdata: expected wdata = 3c, rdata = 3c
# Checking rdata: expected wdata = a6, rdata = a6
# Checking rdata: expected wdata = c9, rdata = c9
# Checking rdata: expected wdata = c1, rdata = c1
# Checking rdata: expected wdata = 96, rdata = 96
# Checking rdata: expected wdata = 0f, rdata = 0f
# Checking rdata: expected wdata = bd, rdata = bd
# Checking rdata: expected wdata = a9, rdata = a9
# Checking rdata: expected wdata = 46, rdata = 46
# Checking rdata: expected wdata = 4b, rdata = 4b
# Checking rdata: expected wdata = b9, rdata = b9
# Checking rdata: expected wdata = 76, rdata = 76
# Checking rdata: expected wdata = 62, rdata = 62
# Checking rdata: expected wdata = 81, rdata = 81
# Checking rdata: expected wdata = 50, rdata = 50
# Checking rdata: expected wdata = b9, rdata = b9
# Checking rdata: expected wdata = 99, rdata = 99
# Checking rdata: expected wdata = ab, rdata = ab
# Checking rdata: expected wdata = 18, rdata = 18
# Checking rdata: expected wdata = eb, rdata = eb
# Checking rdata: expected wdata = 26, rdata = 26
# Checking rdata: expected wdata = d5, rdata = d5
# Checking rdata: expected wdata = 4f, rdata = 4f
# Checking rdata: expected wdata = fd, rdata = fd
# Checking rdata: expected wdata = c8, rdata = c8
# Checking rdata: expected wdata = af, rdata = af
# Checking rdata: expected wdata = 3d, rdata = 3d
# Checking rdata: expected wdata = 0f, rdata = 0f
# Checking rdata: expected wdata = 54, rdata = 54
# Checking rdata: expected wdata = d3, rdata = d3
# Checking rdata: expected wdata = fb, rdata = fb
# Checking rdata: expected wdata = 4c, rdata = 4c
# Checking rdata: expected wdata = 09, rdata = 09
# Checking rdata: expected wdata = 1a, rdata = 1a
# Checking rdata: expected wdata = a8, rdata = a8
# Checking rdata: expected wdata = d2, rdata = d2
# Checking rdata: expected wdata = 36, rdata = 36
# Checking rdata: expected wdata = 72, rdata = 72
# Checking rdata: expected wdata = 0d, rdata = 0d
# Checking rdata: expected wdata = 3a, rdata = 3a
# Checking rdata: expected wdata = 61, rdata = 61
# Checking rdata: expected wdata = 9a, rdata = 9a
# Checking rdata: expected wdata = a4, rdata = a4
# Checking rdata: expected wdata = 88, rdata = 88
# Checking rdata: expected wdata = 3a, rdata = 3a
# Checking rdata: expected wdata = 64, rdata = 64
# Checking rdata: expected wdata = 19, rdata = 19
# Checking rdata: expected wdata = 16, rdata = 16
# Checking rdata: expected wdata = 25, rdata = 25
# Checking rdata: expected wdata = 99, rdata = 99
# Checking rdata: expected wdata = 3c, rdata = 3c
# Checking rdata: expected wdata = cf, rdata = cf
# Checking rdata: expected wdata = b4, rdata = b4
# Checking rdata: expected wdata = 0e, rdata = 0e
# Checking rdata: expected wdata = 82, rdata = 82
# Checking rdata: expected wdata = 8a, rdata = 8a
# Checking rdata: expected wdata = 98, rdata = 98
# Checking rdata: expected wdata = 1f, rdata = 1f
# Checking rdata: expected wdata = 65, rdata = 65
# Checking rdata: expected wdata = 0a, rdata = 0a
# Checking rdata: expected wdata = da, rdata = da
# Checking rdata: expected wdata = b7, rdata = b7
# Checking rdata: expected wdata = ec, rdata = ec
# Checking rdata: expected wdata = 60, rdata = 60
# Checking rdata: expected wdata = ef, rdata = ef
# Checking rdata: expected wdata = ee, rdata = ee
# Checking rdata: expected wdata = 22, rdata = 22
# Checking rdata: expected wdata = 46, rdata = 46
# Checking rdata: expected wdata = 6a, rdata = 6a
# Checking rdata: expected wdata = 4e, rdata = 4e
# Checking rdata: expected wdata = 62, rdata = 62
# Checking rdata: expected wdata = e1, rdata = e1
# Checking rdata: expected wdata = 25, rdata = 25
# Checking rdata: expected wdata = 65, rdata = 65
# Checking rdata: expected wdata = 5a, rdata = 5a
# Checking rdata: expected wdata = 36, rdata = 36
# Checking rdata: expected wdata = b6, rdata = b6
# Checking rdata: expected wdata = 5e, rdata = 5e
# Checking rdata: expected wdata = 42, rdata = 42
# Checking rdata: expected wdata = df, rdata = df
# Checking rdata: expected wdata = 6b, rdata = 6b
# Checking rdata: expected wdata = 78, rdata = 78
# Checking rdata: expected wdata = 81, rdata = 81
# Checking rdata: expected wdata = 95, rdata = 95
# Checking rdata: expected wdata = 54, rdata = 54
# Checking rdata: expected wdata = c5, rdata = c5
# Checking rdata: expected wdata = 49, rdata = 49
# Checking rdata: expected wdata = a4, rdata = a4
# Checking rdata: expected wdata = 93, rdata = 93
# Checking rdata: expected wdata = 6a, rdata = 6a
# Checking rdata: expected wdata = de, rdata = de
# Checking rdata: expected wdata = 0f, rdata = 0f
# Checking rdata: expected wdata = fd, rdata = fd
# Checking rdata: expected wdata = 76, rdata = 76
# Checking rdata: expected wdata = 19, rdata = 19
# Checking rdata: expected wdata = 90, rdata = 90
# Checking rdata: expected wdata = 8b, rdata = 8b
# Checking rdata: expected wdata = 69, rdata = 69
# Checking rdata: expected wdata = a3, rdata = a3
# Checking rdata: expected wdata = 55, rdata = 55
# Checking rdata: expected wdata = ea, rdata = ea
# Checking rdata: expected wdata = bb, rdata = bb
# Checking rdata: expected wdata = 54, rdata = 54
# Checking rdata: expected wdata = f5, rdata = f5
# Checking rdata: expected wdata = ec, rdata = ec
# Checking rdata: expected wdata = 44, rdata = 44
# Checking rdata: expected wdata = 24, rdata = 24
# Checking rdata: expected wdata = 34, rdata = 34
# ** Note: $finish    : testbench.sv(70)
#    Time: 92750 ns  Iteration: 1  Instance: /async_fifo1_tb
# 1
# Break in Module async_fifo1_tb at testbench.sv line 70
